strongs_id,definition,short_def,etymology
H386,"1) perpetual, constant, perennial, ever-flowing
1a) ever-flowing (of a stream)
1b) permanence, permanent, enduring (fig.)",permanence; hence (concrete) permanent; specifically a chieftain,or (shortened) ; from an unused root (meaning to continue);
H387,"Ethan = ""enduring""
1) an Ezrahite known for his wisdom
2) a grandson of Judah, father of Azariah
3) a Kohathite descendant of Levi
4) a Merarite son of Kushaiah, descendant of Levi","Ethan, the name of four Israelites",the same as ; permanent;
H388,"Ethanim = ""enduring""
1) seventh Jewish month, corresponding to modern Oct. to Nov.; so named because permanent streams still flowed","Ethanim, the name of a month",plural of ; always with the article; the permanent brooks;
H389,"1) indeed, surely (emphatic)
2) howbeit, only, but, yet (restrictive)","a particle of affirmation, surely; hence (by limitation) only",akin to ;
H390,"Accad = ""subtle""
1) a city in north Babylonia, also the district around it","Accad, a place in Babylon",from an unused root probably meaning to strengthen; a fortress;
H391,"1) deceitful, treacherous, deception, lie, deceptive, disappointing",falsehood; by implication treachery,from ;
H392,"Achzib = ""deceit""
1) a town in the lowland of west Judah
2) a town in Asher by the Sea of Galilee","Akzib, the name of two places in Palestine",from ; deceitful (in the sense of a winter-torrent which fails in summer);
H393,"1) cruel, fierce",violent; by implication deadly; also (in a good sense) brave,from an unused root (apparently meaning to act harshly);
H394,1) cruel,terrible,from ;
H395,"1) cruelty, fierceness, cruel",fierceness,from ;
H396,"1) food, a meal, an eating, meat","something eatable, i.e. food",feminine from ;
H397,"Achish = ""I will blacken (or terrify)"" or ""only a man""
1) Philistine king of Gath","Akish, a Philistine king",of uncertain derivation;
H398,"1) to eat, devour, burn up, feed
1a) (Qal)
1a1) to eat (human subject)
1a2) to eat, devour (of beasts and birds)
1a3) to devour, consume (of fire)
1a4) to devour, slay (of sword)
1a5) to devour, consume, destroy (inanimate subjects - ie, pestilence, drought)
1a6) to devour (of oppression)
1b) (Niphal)
1b1) to be eaten (by men)
1b2) to be devoured, consumed (of fire)
1b3) to be wasted, destroyed (of flesh)
1c) (Pual)
1c1) to cause to eat, feed with
1c2) to cause to devour
1d) (Hiphil)
1d1) to feed
1d2) to cause to eat
1e) (Piel)
1e1) consume",to eat (literally or figuratively),a primitive root;
H399,"1) to eat, devour
1a) (P'al)
1a1) to eat (of beasts)
1a2) to devour
1a3) eat their pieces (in a phrase, that is, slander them)",{to eat (literally or figuratively)},(Aramaic) corresponding to
H400,"1) food
1a) cereal
1b) meat
2) food supply
3) meal, dinner",food,from ;
