strongs_id,definition,short_def,etymology
H751,"Erech = ""long""
1) a city 40 miles (64 km) northwest of Ur toward Babylon on the left bank of the Euphrates river","Erek, a place in Babylon",from ; length;
H752,"1) long
1a) of time
1b) of God's wisdom (fig.)",long,from ;
H753,"1) length
1a) physical length
1b) of time
2) forbearance, self-restraint (of patience)",length,from ;
H754,"1) prolongation, lengthening, prolonging",length,"(Aramaic) or ; (Aramaic), from ;"
H755,1) knee,the knee,(Aramaic) from an unused root corresponding to (in the sense of bending the knee);
H756,"Archevites = ""lengthy""
1) a native of the city of Erech",an Arkevite (collectively) or native of Erek,(Aramaic) patrial from ;
H757,"Archite or Archi = ""lengthy""
1) referring to the home city of Hushai",an Arkite or native of Erek,patrial from another place (in Palestine) of similar name with ;
H758,"Aram or Arameans = ""exalted""
n pr m
1) Aram or Syriathe nation
2) the Syrian or Aramean people
Aram = ""exalted""
n m
3) fifth son of Shem
4) a grandson of Nahor
5) a descendant of Asher","Aram or Syria, and its inhabitants; also the name of the son of Shem, a grandson of Nahor, and of an Israelite",from the same as ; the highland;
H759,"1) citadel, palace, fortress",a citadel (from its height),from an unused root (meaning to be elevated);
H760,"Aram-zobah = ""exalted station: exalted conflict""
1) probably the land northeast of Damascus",Aram of Tsoba (or Coele-Syria),from and ;
H761,"Syrian or Aramean = ""exalted""
1) a thing or a person from Syria or Aram",an Aramite or Aramaean,patrial from ;
H762,"Aramaic = ""language""
1) the language of Aram, Aramaic",(only adverbial) in Aramean,feminine of ;
H763,"Aram-naharaim = ""Aram of the two rivers""
1) Mesopotamia",Aram of (the) two rivers (Euphrates and Tigris) or Mesopotamia,from and the dual of ;
H764,"Armoni = ""one of the palace""
1) a son of Saul","Armoni, an Israelite",from ; palatial;
H765,"Aran = ""joyous""
1) a descendant of Esau","Aran, an Edomite",from ; stridulous;
H766,"1) fir tree, cedar",the ash tree (from its toughness),from the same as (in the sense of strength);
H767,"Oren = ""cedar""
1) a descendant of Judah","Oren, an Israelite",the same as ;
H768,"1) hare
1a) probably an extinct animal because no known hare chews its cud, exact meaning is unknown, and best left untranslated as ""arnebeth""",the hare,of uncertain derivation;
H769,"Arnon = ""rushing stream""
1) a river and surrounding valley in south Palestine, forms the border between Moab and the Amorites","the Arnon, a river east of the Jordan, also its territory","or lemma אַרְנן missing vowel, corrected to אַרְנֹן; from ; a brawling stream;"
H770,"Arnan = ""lion of perpetuity: or a wild goat: I shall shout for joy""
1) a descendant of David","Arnan, an Israelite",probably from the same as ; noisy;
H771,"Ornan = ""light was perpetuated: their fir trees""
1) a Jebusite who sold, to David, a threshing floor for an altar","Ornan, a Jebusite",probably from ; strong;
H772,"1) earth, world, ground",the earth; by implication (figuratively) low,(Aramaic) corresponding to ;
H773,1) bottom,the bottom,(Aramaic) feminine of ;
H774,"Arpad or Arphad = ""I shall be spread out (or supported)""
1) a city in northern Syria cited as an example of the Assyrian conquest","Arpad, a place in Syria",from ; spread out;
H775,"Arphaxad = ""I shall fail as the breast: he cursed the breast-bottle""
1) third son of Shem","Arpakshad, a son of Noah; also the region settled by him",probably of foreign origin;
H776,"1) land, earth
1a) earth
1a1) whole earth (as opposed to a part)
1a2) earth (as opposed to heaven)
1a3) earth (inhabitants)
1b) land
1b1) country, territory
1b2) district, region
1b3) tribal territory
1b4) piece of ground
1b5) land of Canaan, Israel
1b6) inhabitants of land
1b7) Sheol, land without return, (under) world
1b8) city (-state)
1c) ground, surface of the earth
1c1) ground
1c2) soil
1d) (in phrases)
1d1) people of the land
1d2) space or distance of country (in measurements of distance)
1d3) level or plain country
1d4) land of the living
1d5) end(s) of the earth
1e) (almost wholly late in usage)
1e1) lands, countries
1e1a) often in contrast to Canaan","the earth (at large, or partitively a land)",from an unused root probably meaning to be firm;
H777,"Arza = ""earthy""
1) housekeeper of Elah, king of Israel","Artsa, an Israelite",from ; earthiness;
H778,"1) earth, the earth",the earth,(Aramaic) by transmutation for ;
